date,/m/05p0rrx,/m/0108bn2x,/g/11tskkw5c9,/g/11sfdkgmfn,/g/11hcz1r4wl,/g/11pcs9ny8w,/g/11bw1zmnts,/m/0273t5w,/g/1234z6p9,/m/020shm,/g/11gt__kf44,/m/09jx2,/m/01fss9,/g/11mcmf67yl,/m/010w1kk1,/m/06bmj,/m/02jnsq,/g/11vyhs52bj,/g/1211cg58,/m/04n7dpf,/g/11fb0vw2fn,/m/05457c,/g/11y119nb71,/g/1ymzxwzdh,/g/1hd_npv62,/g/11y97_pvw8,/m/0_t06w0,/g/1hhcjnjk8,/m/03cvdr8,/g/11sx278r80,/m/076ccs,/m/08bdb1,/m/06vthy,/g/11xdtrjhz,/m/0bk99,/m/01_mbc,/m/0g54q10,/g/11y4s2g9zc,/g/11sx270hw0,/m/0h5x4j3,/g/11bc6pz4wc,/g/11cm999bwp,/g/11f4pp7gnm,/g/11pb1mb808,/m/09sdbh,/g/11bc5nt74w,/m/026gp6r,/m/0g7cg,/m/0dhc24,/g/11bwcyffr7,/m/0b_zn7s,/m/01n5jq,/g/11c6tz417w,/m/01y_qq,/g/11c0xsqchh,/m/01fzl3,/m/02gr_,/m/05nbcg,/m/01s940,/m/0130fmqz,/m/027b9k,/m/018npy,/m/0657nv,/g/11nyxr7hxv,/g/11c55s6k2t,/g/11vz2cz87d,/m/0x2fg,/g/121hdpdf,/m/016pjk,/m/0bq3x,/m/0cbx95,/g/122t17dp,/m/025bfq,/m/0ccld,/m/014xsg,/m/06_wrtv,/g/11c1np3rvg,/m/02g0j0,/m/09pngm,/g/11qpk2v0pq,/m/01mq8p,/m/03ctrlg,/g/122919_0,/g/11vpwmz6vg,/m/02wpj1,/g/11bzx7cv2m,/g/11m6_4hjpt,/g/11vm2_r4hw,/g/11sg2tlrf0,/m/07_hy,/g/11cknh9qp1,/g/11sw_tmz6z,/m/0d063v,/m/06_7xx,/g/11lyxggfjt,/m/0380q,/g/11c5g9ql2b,/g/11hdq9v_sn,/g/11bc6n2sw6,/m/02rz0ly,/g/11x1ng30y,/m/06fhs,/m/06xbd,/m/01phdl,/m/03nfl,/m/05k97,/m/03bxwvx,/m/0dc7h,/m/01tbgl,/m/0br5fz,/m/0n5462l,/g/122l3gtx,/m/0j6v7,/g/11l2lxvky5,/g/11f2sl5v8_,/g/11j317gwf_,/g/11mw7nz8h_,/g/11kxqfzv4h,/g/11stj9b049,/m/03c18t5,/m/012t0g,/g/11q3qhxt3k,/g/121fwt0w,/m/069kd,/g/11g9mhrln7,/m/0cxdc,/g/11dxl6v_ff,/m/064ctn,/g/11dx9fx89k,/g/11bc6ldrb5,/m/017rf_,/g/11f5bxylc0,/m/09jcvs,/g/11twnws_cc,/g/121hrbch,/g/11f555cn8l,/g/11h79tp_8r,/g/11shd5x1t8,/m/02bft,/m/0ftsr,/m/03x69g,/m/0cn9bm,/g/11rc00sflx,/m/06796,/g/11q4gczjq8,/g/11g6qlbmr4,/m/0hpnr,/g/11sq21scf3,/m/0dq3fd,/g/11rbcdg93b,/g/11j8qr8rbs,/g/11v3xjch6h,/g/11f3sfth4w,/g/11ww7k4dcq,/m/0322db,/g/11mcz640x1,/g/11f1rm29b8,/g/11yg9d9k9g,/m/017tfz,/m/012llw50,/g/11xt0w58jz,/g/11kxnptn2h,/g/11sc9wv6gj,/g/11dftk47yk,/g/11fd6dg5b5,/g/11qwv9wbx8,/m/01ddm,/g/11kzq0jnkt,/m/02gy5l,/g/11jt20l831,/g/11h7_q3l6z,/g/11jp_j0m6d,/m/01h7lh,/m/0rfgxy2,/g/11ww08lq0j,/g/11vhqc7hb1,/m/02xz2,/m/0179v6,Country
2021-12-26,39,15,0,0,2,1.0,0.0,55.0,0.0,17.0,0,20,2,0,0,2,3,0,0,16,0,2,0,10,0,0,26,72,0,0,57,16,7,0,30,26,18,0,0,70,0,1,1,0,5,0,0,1,0,0,16,60,0,1,0,32,45,0,24,24,40,53,27,0,0,0,12,18,16,23,19,0,1,2,21,4,0,48,40,0,3,43,24,0,3,0,0,0,0,84,1,0,2,0,0,0,0,0,0,1,0,5,31,3,0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,70.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,26.0,8.0,83.0,0.0,0.0,69.0,0.0,0.0,5.0,2.0,46.0,0.0,0.0,2.0,0.0,0.0,69.0,0.0,0.0,0.0,0,0,0,0,14,0,0,0,32,11,0,0,0,0,0,0,36,0,18,0,2,0,30,32,0,0.0,16.0,0.0,US
2022-01-02,50,20,0,0,3,2.0,0.0,74.0,0.0,19.0,0,26,5,0,0,3,4,0,0,38,0,3,0,8,0,0,21,65,0,0,63,15,8,0,34,24,19,0,0,69,0,1,1,0,5,0,0,1,0,0,15,67,0,1,0,40,50,0,25,25,59,53,36,0,0,0,12,20,16,23,25,0,2,3,33,5,0,65,52,0,5,64,27,0,3,0,0,0,0,91,2,0,2,0,0,0,0,0,0,1,0,8,40,4,1,9.0,9.0,1.0,2.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,89.0,0.0,0.0,4.0,0.0,2.0,11.0,0.0,0.0,0.0,26.0,7.0,79.0,0.0,0.0,67.0,0.0,0.0,7.0,3.0,59.0,0.0,0.0,3.0,0.0,0.0,77.0,0.0,0.0,0.0,0,0,0,0,25,0,0,0,39,14,0,0,0,0,0,0,36,0,21,0,4,0,27,19,0,0.0,16.0,0.0,US
2022-01-09,45,19,0,0,2,2.0,0.0,75.0,0.0,19.0,0,40,11,0,0,3,4,0,0,51,0,3,0,9,0,0,19,54,0,0,60,15,8,0,37,25,20,0,0,71,0,0,1,0,5,0,0,1,0,0,15,72,0,2,0,58,50,0,25,31,66,55,32,0,0,0,9,24,15,23,27,0,2,4,30,5,0,62,58,0,4,69,28,0,4,0,0,0,0,85,3,0,3,0,0,0,0,0,0,1,0,9,39,4,1,11.0,8.0,2.0,2.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,89.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,24.0,7.0,82.0,0.0,0.0,66.0,0.0,0.0,7.0,3.0,67.0,0.0,0.0,4.0,0.0,0.0,74.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,36,15,0,0,0,0,0,0,35,0,21,0,4,0,27,15,0,0.0,15.0,0.0,US
2022-01-16,52,19,0,0,2,1.0,0.0,76.0,0.0,18.0,0,31,5,0,0,4,5,0,0,27,0,3,0,8,0,0,19,54,0,0,49,15,8,0,38,25,20,0,0,68,0,0,1,0,5,0,0,1,0,0,14,68,0,2,0,41,53,0,24,25,65,50,29,0,0,0,10,20,14,19,25,0,2,4,27,5,0,59,58,0,5,64,27,0,5,0,0,0,0,81,2,0,2,0,0,0,0,0,0,1,0,9,33,4,1,11.0,7.0,2.0,2.0,0.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,85.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,0.0,24.0,6.0,85.0,0.0,0.0,59.0,0.0,0.0,7.0,3.0,61.0,0.0,0.0,3.0,0.0,0.0,67.0,0.0,0.0,0.0,0,0,0,0,25,0,0,0,34,14,0,0,0,0,0,0,34,0,20,0,4,0,31,13,0,0.0,13.0,0.0,US
2022-01-23,65,21,0,0,2,1.0,0.0,81.0,0.0,23.0,0,38,6,0,0,5,5,0,0,37,0,3,0,15,0,0,20,52,0,0,55,15,9,0,41,27,19,0,0,70,0,0,1,0,5,0,0,1,0,0,14,70,0,2,0,43,63,0,26,30,72,64,30,0,0,0,11,23,14,19,31,0,2,4,30,5,0,64,67,0,5,72,30,0,13,0,0,0,0,80,2,0,3,0,0,1,0,0,0,1,0,10,41,5,1,13.0,8.0,2.0,2.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,89.0,0.0,0.0,3.0,0.0,2.0,16.0,1.0,0.0,0.0,22.0,5.0,83.0,0.0,0.0,61.0,0.0,0.0,8.0,3.0,70.0,1.0,0.0,4.0,0.0,0.0,68.0,0.0,0.0,0.0,0,0,0,0,28,0,0,0,38,16,0,0,0,0,0,0,35,0,23,0,4,0,38,14,0,0.0,14.0,0.0,US
2022-01-30,45,16,0,0,2,1.0,0.0,86.0,0.0,24.0,0,29,6,0,0,4,4,0,0,29,0,3,0,17,0,0,26,49,0,0,49,15,9,0,41,29,21,0,0,68,0,0,1,0,18,0,0,2,0,0,16,74,0,2,0,44,66,0,25,29,74,65,29,0,0,0,9,23,14,18,29,0,2,4,28,6,0,62,57,0,6,75,28,0,6,0,0,0,0,84,2,0,3,0,0,0,0,0,0,1,0,9,42,4,1,12.0,7.0,2.0,2.0,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,87.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0,24.0,5.0,87.0,0.0,0.0,63.0,0.0,0.0,9.0,3.0,71.0,1.0,0.0,4.0,0.0,0.0,68.0,0.0,0.0,0.0,0,0,0,0,26,0,0,0,38,47,0,0,0,0,0,0,34,0,23,0,4,0,30,15,0,0.0,15.0,0.0,US
2022-02-06,46,15,0,0,2,2.0,0.0,81.0,0.0,23.0,0,49,16,0,0,5,7,0,0,34,0,3,0,8,0,0,20,54,0,0,48,15,9,0,44,28,21,0,0,69,0,0,1,0,9,0,0,1,0,0,17,76,0,2,0,50,59,0,24,32,73,70,29,0,0,0,9,26,15,19,34,0,2,4,27,6,0,61,60,0,6,82,30,0,4,0,0,0,0,88,2,0,3,0,0,1,0,0,0,1,0,10,45,5,1,22.0,8.0,2.0,3.0,0.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,86.0,0.0,0.0,3.0,0.0,1.0,12.0,1.0,0.0,0.0,21.0,5.0,87.0,0.0,0.0,63.0,0.0,0.0,9.0,4.0,75.0,1.0,0.0,4.0,0.0,0.0,70.0,0.0,0.0,0.0,0,0,0,0,24,0,0,0,44,41,0,0,0,0,0,0,40,0,22,0,4,0,33,16,0,0.0,19.0,0.0,US
2022-02-13,41,13,0,0,2,1.0,0.0,83.0,0.0,23.0,0,43,7,0,0,6,5,0,0,36,0,3,0,8,0,0,21,53,0,0,42,15,9,0,45,28,20,0,0,69,0,1,1,0,7,0,0,1,0,0,16,78,0,3,0,53,70,0,27,30,74,69,35,0,0,0,10,25,15,17,34,1,2,5,26,5,0,65,64,0,6,83,32,0,5,0,0,0,0,81,2,0,3,0,0,1,0,0,0,1,0,11,44,5,1,20.0,10.0,3.0,3.0,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,87.0,0.0,0.0,3.0,0.0,1.0,15.0,1.0,0.0,0.0,22.0,4.0,83.0,0.0,0.0,59.0,0.0,0.0,8.0,4.0,82.0,1.0,0.0,4.0,0.0,0.0,67.0,0.0,0.0,0.0,0,0,0,0,30,0,0,0,42,31,0,0,0,0,0,0,32,0,21,0,3,0,36,18,0,0.0,21.0,1.0,US
2022-02-20,49,14,0,0,2,1.0,0.0,78.0,0.0,23.0,0,38,6,0,0,5,4,0,0,33,0,3,0,8,0,0,20,49,0,0,48,14,9,0,44,29,23,0,0,70,0,1,1,0,6,0,0,1,0,0,18,74,0,3,0,44,65,0,28,27,79,67,35,0,0,0,9,23,15,15,31,0,2,9,27,5,0,64,72,0,5,75,34,0,4,0,0,0,0,80,2,0,3,0,0,1,0,0,0,1,0,11,50,5,1,47.0,10.0,2.0,3.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,81.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,23.0,5.0,85.0,0.0,0.0,62.0,0.0,0.0,7.0,4.0,79.0,1.0,0.0,4.0,0.0,0.0,68.0,0.0,0.0,0.0,0,0,0,0,36,0,0,0,42,27,0,0,0,0,0,0,39,0,23,0,3,0,35,15,0,0.0,24.0,1.0,US
2022-02-27,43,12,0,0,2,1.0,0.0,81.0,0.0,24.0,0,40,6,0,0,6,4,0,0,35,0,3,0,7,0,0,19,45,0,0,38,15,9,0,45,29,23,0,0,67,0,0,1,0,11,0,0,1,0,0,20,75,0,3,0,49,66,0,26,29,70,66,39,0,0,0,9,22,17,14,32,0,2,18,27,5,0,62,100,0,6,76,33,0,3,0,0,0,0,79,2,0,4,0,0,1,0,0,0,1,0,13,52,5,2,100.0,11.0,3.0,3.0,0.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,92.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,20.0,5.0,84.0,0.0,0.0,59.0,0.0,0.0,6.0,4.0,81.0,1.0,0.0,4.0,0.0,0.0,66.0,0.0,0.0,0.0,0,0,0,0,35,0,0,0,41,26,0,0,0,0,0,0,36,0,23,0,3,0,34,20,0,0.0,20.0,0.0,US
