Country,date,finance_crypto_speculation_index,finance_real_estate_pressure_index,finance_macro_pressure_index,luxury_status_consumption_index,luxury_aesthetic_body_index,luxury_elite_mobility_index,crime_gun_violence_index,crime_organized_crime_index,crime_sexual_violence_index,crime_cybercrime_index,crime_violent_crime_index,social_migration_pressure_index,social_work_culture_index,social_corruption_index,social_dating_culture_index,social_identity_politics_index,social_vegan_lifestyle_index,environment_climate_concern_index,environment_energy_transition_index,environment_pollution_index,tech_digital_intelligence_index,tech_security_privacy_index,entertainment_streaming_consumption_index,entertainment_short_video_index,health_mental_health_index,health_healthcare_access_index,health_addiction_recovery_index,health_sleep_crisis_index,sports_body_image_index,sports_elite_spectator_sports_index
US,2021-12-26,1.5,0.0,2.0,4.5,8.0,1.0,0.0,1.0,24.0,13.0,15.5,1.5,12.0,3.0,13.5,0.0,1.0,0.0,2.0,0.5,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,8.5
US,2022-01-02,2.0,0.0,3.0,4.0,7.5,1.0,0.0,1.0,25.5,17.0,16.0,2.0,17.5,5.0,14.5,0.0,2.0,0.0,2.5,0.5,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
US,2022-01-09,1.5,0.0,3.0,4.0,7.5,0.0,0.0,2.0,28.0,15.0,18.0,3.0,17.5,4.0,16.0,0.0,2.0,0.0,2.5,1.5,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,7.5
US,2022-01-16,1.5,0.0,3.0,4.0,7.5,0.0,0.0,2.0,24.5,13.5,15.0,2.5,15.5,5.0,16.5,0.0,2.0,0.0,2.5,1.5,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.5
US,2022-01-23,1.5,0.0,3.0,7.0,7.5,0.0,0.0,2.0,27.5,14.5,14.5,3.0,17.0,5.0,21.5,0.0,2.0,0.0,3.0,1.5,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0
US,2022-01-30,1.5,0.0,3.0,8.5,7.5,0.0,0.0,2.0,27.0,14.0,15.0,3.0,16.5,6.0,18.5,0.0,2.0,0.0,2.5,1.5,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0
US,2022-02-06,2.0,0.0,3.0,4.0,7.5,0.0,0.0,3.0,28.5,13.5,16.0,3.0,16.5,6.0,17.5,0.0,2.0,0.0,3.5,1.5,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,7.5
US,2022-02-13,1.5,0.0,3.0,4.0,7.0,1.0,0.0,3.0,27.0,16.5,14.5,3.0,16.0,6.0,18.5,0.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,9.5
US,2022-02-20,1.5,0.0,3.0,3.5,7.5,1.0,0.0,3.0,28.0,16.5,14.0,5.5,15.5,5.0,18.0,0.0,2.0,0.0,3.0,1.5,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0
US,2022-02-27,1.5,0.0,3.0,3.5,7.5,0.0,0.0,3.0,28.5,18.5,14.0,10.0,15.0,6.0,17.5,0.0,2.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0
US,2022-03-06,1.5,0.0,3.0,3.5,7.5,0.0,0.0,3.0,27.5,14.0,14.5,10.0,16.5,5.0,20.5,0.0,2.0,0.0,3.5,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,11.5
US,2022-03-13,1.5,0.0,3.0,3.5,7.5,0.0,0.0,3.0,32.5,15.0,16.5,8.5,15.0,5.0,19.5,0.0,2.0,0.0,3.0,1.5,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0
US,2022-03-20,1.5,0.0,3.0,3.5,7.5,1.0,0.0,3.0,29.5,14.0,15.0,8.0,15.0,5.0,19.5,0.0,2.0,0.0,3.5,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,13.0
US,2022-03-27,1.5,0.0,3.0,4.5,6.5,0.0,0.0,4.0,27.0,14.0,15.0,6.5,17.5,5.0,18.5,0.0,2.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0
US,2022-04-03,2.0,0.0,3.0,4.0,7.0,0.0,0.0,4.0,27.5,13.0,17.0,6.0,16.0,6.0,18.5,0.0,2.0,0.0,5.0,3.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,8.5
US,2022-04-10,1.5,0.0,3.0,3.5,6.5,0.0,0.0,4.0,25.0,12.0,17.0,5.5,14.5,6.0,17.5,0.0,1.0,0.0,4.0,2.5,0.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,8.5
US,2022-04-17,2.0,0.0,3.0,4.5,7.0,1.0,0.0,4.0,28.5,14.0,19.0,5.5,16.0,6.0,18.0,0.0,1.0,1.0,5.0,3.5,0.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,7.5
US,2022-04-24,1.5,0.0,3.0,4.5,6.5,1.0,0.0,5.0,26.0,15.5,22.0,5.5,15.5,7.0,18.5,0.0,2.0,1.0,5.0,3.5,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,6.5
US,2022-05-01,1.5,0.0,3.0,5.0,6.0,1.0,0.0,3.0,18.5,15.0,16.0,5.0,14.0,5.0,17.5,0.0,1.0,0.0,4.5,2.5,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,8.5
US,2022-05-08,1.5,0.0,3.0,4.5,6.0,1.0,0.0,2.0,18.0,16.5,17.0,5.0,14.0,5.0,15.5,0.0,1.0,0.0,5.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,11.5
